question,answer
Hello,Hello! I am the Student Support AI. How can I help you today?
Thank you,You are very welcome! Let me know if you have any other questions.
Who are you,I am an AI student support assistant designed to help concordia students with university-related questions.
How do I reset my concordia account password?,Visit the IT portal and select Forgot Password.
Where is the registrar office located?,The registrar office is located in GM building.
How do I pay my tuition and other fees?,All fees can be paid online through the finance portal using a credit card or bank transfer.
How do I contact technical support?,You can email IT@Concordia.ca or call the IT help desk(Number will be found on the website).
What are the library hours of operation?,The library is open from 9 AM to 10 PM every day.
How do I register for classes and courses?,Log into the student portal and open the course registration section under Academics.
How do I drop or add a course?,You can modify your course enrollment through the student portal during the official add/drop period.
How can I apply for scholarships and financial aid?,Visit AFE Quebec website.
Where can I find my class schedule?,Your class schedule is available in your student portal under “My Courses”.
How do I get a new student ID card?,Visit the campus security office with a valid government photo ID to request your student card.
Where can I find academic advising and counselors?,Academic advising is available at the Student Success Centre in Hall Building.
How do I request an official transcript?,You can request both official and unofficial transcripts through the registrar office website.
How do I connect to campus Wi-Fi or internet?,Select the campus Wi-Fi network and log in using your student email and password.
How do I book an appointment with an advisor?,Use the online booking system on the Student Success Centre website.
What should I do if I feel stressed or overwhelmed?,You can contact the campus wellness center for free counseling and mental health support.
What should I do if I feel happy?,You can share that happyiness with others at the campus wellness center.
How do I apply for graduation?,Submit a graduation application through the registrar office portal before the semester deadline.
Where can I find internship or job opportunities?,Check the career center website for job postings and internship listings.
How do I update my personal information or address?,You can update your contact details in the student portal under “Profile”.
Where can I get help with school work or any other assignments?,Visit the writing center located in the library for tutoring support.
How do I access online learning materials or Moodle?,Your course materials are available on the university learning management system.
How do I go to school?, You can attend classes in person on campus or access them online through the learning management system.
How do I access my student email?,You can log in using your Netname and password through the university email portal.
How do I change my program or major?,Submit a program change request through your student portal under Academic Requests.
How do I check my tuition balance?,You can view your balance in the student finance section of your portal.
How do I apply for a student loan?,Visit the financial aid website and follow the student loan application instructions.
Where can I find campus maps?,Campus maps are available on the university website under Campus Information.
How do I appeal a grade?,You can submit a grade appeal form through the registrar office within the allowed deadline.
How do I request a course override?,Contact your department advisor to request a course override.
How do I get help with math or science courses?,Visit the tutoring center located in the library for academic support.
How do I join student clubs?,You can browse and join clubs through the student life portal.
How do I get a parking permit?,Parking permits can be purchased online through the campus parking services website.
How do I report a lost item?,Visit the campus security office or check the lost and found page online.
How do I update my emergency contact?,You can update emergency contacts in your student portal under Personal Information.
How do I access my tax forms?,Tax forms are available in the finance section of your student portal.
How do I request disability accommodations?,Contact the Access Centre for Students with Disabilities to schedule an appointment.
How do I check my graduation requirements?,You can view your program requirements in the degree audit section of your portal.
How do I pay international student fees?,"International students can pay through the online portal using credit card, bank transfer, or Flywire."
How do I get a letter of enrollment?,You can request an enrollment verification letter through the registrar office website.
How do I access the gym or fitness center?,You can use your student ID to access the campus gym.
How do I reset my student portal password?,Use the “Forgot Password” option on the login page to reset your password.
How do I contact campus security?,You can call the campus security hotline or visit their office in the main building.
How do I get help with mental health?,"You can book free counseling sessions at the campus wellness center."
How do I check if a course is full?,You can see course availability in the course registration system.
How do I join online classes?,Through eConcordia.
How do I get my student ID replaced?,Visit the security office and request a replacement card for a small fee.
How do I apply for co-op?,Visit the co-op office website and follow the application steps for your program.
How do I find research opportunities?,Check with your department or visit the undergraduate research office.
How do I contact my professor?,You can find your professors email on the course outline or department website.
How do I access recorded lectures?,Recorded lectures are available on moodle.
How do I check my assignment deadlines?,Assignment deadlines are listed on moodle.
How do I get help with writing essays?,Visit the writing center for free academic writing support.
